entry_time,exit_time,entry_price,exit_price,direction,net_pnl,fee,qty,exit_reason
2025-08-01 14:00:00,2025-08-01 19:32:00,3342.286,3357.307,BUY,148.6099999999973,1.6,10,止盈
2025-08-07 15:00:00,2025-08-07 23:00:00,3387.893,3406.229,SELL,-184.95999999999785,1.6,10,新信号平仓
2025-08-07 23:00:00,2025-08-08 00:35:00,3405.235,3389.992,SELL,150.8299999999994,1.6,10,止盈
2025-08-11 02:00:00,2025-08-11 07:05:00,3377.547,3361.339,SELL,160.48000000000084,1.6,10,止盈
2025-09-04 04:00:00,2025-09-04 13:32:00,3529.244,3554.689,SELL,-256.0499999999971,1.6,10,止损
2025-09-04 14:00:00,2025-09-05 12:30:00,3546.585,3574.16,BUY,274.14999999999816,1.6,10,止盈
2025-09-05 15:00:00,2025-09-08 08:22:00,3590.165,3616.456,SELL,-264.5100000000017,1.6,10,止损
2025-09-09 16:00:00,2025-09-09 19:48:00,3645.468,3630.342,SELL,149.6599999999975,1.6,10,止盈
2025-09-11 14:00:00,2025-09-12 04:31:00,3630.268,3655.395,SELL,-252.86999999999952,1.6,10,止损
2025-09-19 02:00:00,2025-09-19 03:35:00,3639.938,3655.057,BUY,149.58999999999688,1.6,10,止盈
2025-09-23 17:00:00,2025-09-23 18:57:00,3779.33,3761.608,SELL,175.61999999999753,1.6,10,止盈
