entry_time,exit_time,entry_price,exit_price,direction,net_pnl,fee,qty,exit_reason
2025-08-01 14:00:00,2025-08-01 14:18:00,3342.286,3352.992,BUY,105.46000000000132,1.6,10,止盈
2025-08-07 15:00:00,2025-08-07 23:00:00,3387.893,3406.229,SELL,-184.95999999999785,1.6,10,新信号平仓
2025-08-07 23:00:00,2025-08-08 00:18:00,3405.235,3394.99,SELL,100.85000000000346,1.6,10,止盈
2025-08-11 02:00:00,2025-08-11 06:29:00,3377.547,3366.622,SELL,107.65000000000182,1.6,10,止盈
2025-09-04 04:00:00,2025-09-04 13:32:00,3529.244,3554.689,SELL,-256.0499999999971,1.6,10,止损
2025-09-04 14:00:00,2025-09-05 03:32:00,3546.585,3557.826,BUY,110.80999999999986,1.6,10,止盈
2025-09-05 15:00:00,2025-09-08 08:22:00,3590.165,3616.456,SELL,-264.5100000000017,1.6,10,止损
2025-09-09 16:00:00,2025-09-09 19:15:00,3645.468,3635.225,SELL,100.82999999999939,1.6,10,止盈
2025-09-11 14:00:00,2025-09-12 04:31:00,3630.268,3655.395,SELL,-252.86999999999952,1.6,10,止损
2025-09-19 02:00:00,2025-09-19 03:19:00,3639.938,3650.001,BUY,99.03000000000102,1.6,10,止盈
2025-09-23 17:00:00,2025-09-23 18:54:00,3779.33,3768.051,SELL,111.18999999999997,1.6,10,止盈
